,userid,following
0,0,[]
1,1,[]
2,2,"[3663, 3308]"
3,3,[]
4,4,[]
5,5,[262]
6,6,"[253, 110, 3308, 589, 601, 4913, 309, 3157, 2357, 645, 308, 432, 88, 3867, 33, 5038, 391, 561, 3146, 661]"
7,7,"[679, 115, 266, 33, 88, 3964, 4255, 308, 3273, 3826, 3872, 462, 3308, 690, 3469, 207, 3277, 326, 333, 507, 941, 281, 3462]"
8,8,[]
9,9,"[1111, 634, 566, 587, 13, 4954, 162, 2503, 440, 438, 4565, 3308, 4223, 665, 62, 88, 83, 1534, 3790, 1162, 33, 32, 2274, 3330, 967, 1053, 589, 594, 737]"
10,10,"[3102, 434, 83, 165, 544, 4565, 3907, 3311, 101, 4268, 2357, 3273, 2331, 2292, 2239, 88, 3308, 208, 3385, 3867, 62, 2307, 391, 3099, 676, 426, 2274, 33, 163, 3462, 413, 1072]"
11,11,"[253, 3867, 432, 3308, 4321, 201, 2357, 645, 2289, 594, 3462]"
12,12,"[88, 3308, 17, 3462]"
13,13,"[2357, 434, 438, 33, 589, 543, 3311, 62, 1326, 737, 88, 78, 1162, 454, 3155, 634, 1242, 207, 3330, 391, 512, 2531, 1163, 3278, 1281, 2274, 426, 9]"
14,14,[]
15,15,[]
16,16,"[14, 3206, 434, 441, 1103, 2357, 3158, 3150, 432, 2375, 1540, 117, 607, 718, 80, 27, 2705, 115, 249, 208, 2583, 2243, 1063, 262, 493, 3872, 2448, 4116, 232, 3740, 483, 320, 1187, 5357, 3469, 127, 62, 522, 417, 507, 556, 25, 281, 1224, 632, 674, 457, 3278, 33, 3153, 32, 3462, 311, 1373, 2274, 451]"
17,17,"[2315, 3308, 165, 391, 4565, 1058, 33, 3462, 206, 646, 2282, 12, 88, 3556, 589, 2274]"
18,18,[]
19,19,"[175, 4565, 3308, 566, 2239, 686, 432, 4229, 3962, 2237, 2597, 4294, 5118, 5319, 3469, 88, 3311, 2558, 111, 674, 335, 33, 589, 3462, 5198, 7, 4394, 2242]"
20,20,[]
21,21,[3111]
22,22,[]
23,23,"[2252, 33, 88, 589, 3308, 3462, 2239]"
24,24,"[3663, 3867, 391, 88, 616, 3146, 418, 589, 2239]"
25,25,"[1231, 88, 282, 2315, 3548, 670, 2759, 3273, 5041, 896, 3308, 165, 3867, 413, 2289, 632, 3153, 616, 1449, 3108, 1072]"
26,26,"[208, 33]"
27,27,"[598, 3307, 202, 561, 4268, 3974, 115]"
28,28,[]
29,29,[]
30,30,"[253, 432, 3308, 248, 3276, 3663, 292, 83, 2239, 607, 110, 115, 324, 402, 88, 566, 165, 3867, 438, 3146, 86, 616, 311, 391, 348]"
31,31,"[88, 3308, 33]"
32,32,"[518, 66, 167, 566, 3663, 4954, 215, 3308, 2273, 73, 4565, 172, 132, 396, 88, 530, 3195, 208, 2239, 1172, 33, 663, 141, 362, 5, 2309, 2237, 4452, 641, 16, 2369, 3865, 696, 3100, 512, 353, 4707, 9, 96, 3602, 565, 3601]"
33,33,"[686, 334, 26, 619, 2358, 640, 1524, 2499, 14, 601, 2746, 647, 4304, 3995, 441, 5147, 128, 5320, 2579, 346, 670, 3878, 4609, 979, 303, 607, 1111, 5128, 3157, 4966, 4011, 4954, 4272, 2321, 328, 4565, 519, 331, 719, 3877, 6773, 402, 3482, 4156, 4206, 682, 598, 6774, 788, 3296, 4008, 5114, 3319, 4212, 4294, 201, 183, 2357, 397, 110, 2288, 6819, 1064, 2252, 6, 564, 2266, 4913, 543, 3743, 2375, 1195, 553, 88, 3477, 3502, 5078, 3315, 1274, 1948, 3984, 3480, 773, 4502, 4279, 3907, 4362, 823, 291, 3795, 162, 233, 3273, 3308, 34, 3353, 4194, 23, 359, 321, 2326, 4583, 358, 4047, 83, 658, 400, 115, 3331, 566, 189, 384, 3311, 3761, 646, 3962, 381, 4223, 302, 5301, 4965, 184, 1187, 2503, 4276, 4259, 19, 55, 17, 2363, 1277, 2259, 3547, 2235, 31, 690, 587, 249, 2742, 262, 3305, 3758, 237, 418, 692, 4271, 4277, 3227, 709, 1045, 4300, 571, 3117, 208, 165, 4797, 5224, 2208, 493, 3504, 4752, 379, 790, 282, 4564, 101, 3276, 3332, 1119, 3190, 1502, 197, 3964, 1554, 4267, 4249, 6782, 513, 3545, 4213, 179, 2292, 2355, 3185, 1199, 3385, 148, 4268, 2236, 2239, 1034, 544, 1253, 3790, 3872, 483, 2233, 574, 3825, 3469, 669, 645, 3793, 3101, 310, 568, 270, 3475, 465, 2237, 622, 3867, 2586, 46, 528, 4984, 320, 13, 2558, 1314, 539, 461, 280, 276, 4147, 3354, 802, 3999, 301, 4255, 332, 615, 62, 552, 672, 202, 6785, 856, 207, 595, 3865, 569, 3753, 522, 616, 290, 5121, 4191, 43, 3537, 2214, 222, 454, 5198, 4520, 697, 413, 3107, 2307, 6781, 2286, 3154, 4838, 2282, 244, 3133, 2334, 3153, 6795, 5143, 2278, 429, 170, 722, 2216, 309, 4058, 5186, 417, 1114, 3980, 3143, 4964, 5307, 391, 3997, 1261, 308, 4951, 2279, 24, 1072, 371, 3846, 3075, 3277, 4193, 3145, 241, 3111, 16, 3100, 416, 4006, 32, 507, 810, 1067, 4976, 512, 10, 149, 2245, 694, 419, 5093, 3824, 2295, 594, 495, 4408, 2534, 4186, 5034, 121, 2840, 3462, 4635, 2254, 4772, 3864, 369, 86, 212, 3146, 2367, 3099, 3278, 414, 443, 661, 2, 2274, 4485, 133, 3485, 3463, 7, 4949, 537, 2299, 3140, 2350, 586, 129, 4634, 445, 451, 3751, 5140, 95, 5094, 3142, 422, 9, 4063, 456, 2364, 561, 3601, 3754, 4925, 642, 4305, 4109]"
34,34,"[253, 267, 677, 607, 328, 402, 526, 687, 164, 432, 858, 44, 5128, 166, 598, 3984, 367, 2357, 3308, 302, 208, 101, 4188, 165, 231, 358, 501, 282, 3872, 3469, 33, 589, 429, 483, 270, 454, 676, 391, 3141, 3867, 287, 691, 2265, 645, 3153, 309, 2289, 3115, 426, 3278, 352, 3985, 129]"
35,35,[]
36,36,"[244, 391]"
37,37,[]
38,38,[]
39,39,[244]
40,40,[3552]
41,41,"[3743, 632, 589, 4400]"
42,42,[]
43,43,"[687, 245, 88, 2341, 50, 590, 44, 193, 3308, 356, 4037, 690, 645, 33, 3190, 364, 208, 510, 1187, 165, 3141, 4719, 696, 191, 95, 417, 309, 16, 353, 391, 507]"
44,44,[4583]
45,45,[]
46,46,"[3355, 3995, 3663, 3157, 3482, 253, 303, 295, 4565, 4036, 328, 402, 652, 44, 4397, 6813, 432, 110, 1079, 2312, 753, 598, 2357, 2508, 3308, 115, 292, 88, 678, 4008, 3273, 4035, 3311, 463, 302, 4188, 165, 2359, 2291, 5309, 571, 493, 3921, 262, 5031, 282, 4269, 5275, 545, 2297, 2314, 4883, 628, 4124, 62, 65, 3964, 2733, 4019, 101, 3282, 1177, 4104, 2538, 1179, 539, 5346, 207, 33, 3107, 3153, 589, 1072, 454, 51, 2282, 3306, 74, 413, 287, 2334, 676, 391, 2307, 791, 5226, 3143, 4143, 512, 2245, 3192, 3164, 4042, 107, 2265, 212, 3462, 3278, 363, 4707, 3847, 1069, 4634, 5240, 451, 5200, 2274, 3751, 567]"
47,47,[]
48,48,"[253, 2289]"
49,49,[]
50,50,[589]
51,51,[443]
52,52,[]
53,53,[]
54,54,[]
55,55,"[253, 88, 3816, 33, 2789, 303, 4502, 165, 2790, 328, 3964, 589, 4565, 3308, 2239, 391]"
56,56,"[253, 3308, 165, 143, 303, 2357, 83, 575, 33, 4565, 88, 571, 2239, 413, 1353, 2241, 3867, 308, 594, 4303, 3278, 59]"
57,57,[235]
58,58,[5093]
59,59,"[356, 240, 3308, 451, 56, 3276]"
60,60,"[3157, 391, 47]"
61,61,"[432, 439, 507, 2367, 412]"
62,62,"[88, 4321, 1379, 434, 302, 282, 368, 616, 3308, 3740, 4874, 46, 33, 3318, 790, 2668, 413, 51, 3278, 2265, 3824, 1281]"
63,63,[]
64,64,[]
65,65,[]
66,66,[]
67,67,"[645, 3867, 561]"
68,68,[]
69,69,"[253, 2289, 70, 630, 612, 645, 594, 561]"
70,70,[69]
71,71,"[253, 432]"
72,72,[]
73,73,[]
74,74,"[584, 316, 253, 4272, 432, 220, 359, 3769, 835, 2226, 603, 2276, 3867, 2214, 391, 248, 1252, 645, 5082, 2265, 2289, 3462, 507, 2262, 2293]"
75,75,[]
76,76,"[88, 33, 589, 72]"
77,77,[]
78,78,[]
